nom;metier;ville;departement;telephone;email;site_web;email_valide
Plombier Paris Express;plombier;Paris;75;01 79 72 79 77;contact@plombier-paris-express.com;https://www.plombier-paris-express.com;oui
Artisan André Père et Fils;plombier;Paris;75;01 43 94 08 76;contact@artisan-andre.fr;https://www.artisan-andre.fr;oui
Bruno Plombier Chauffagiste;plombier;Paris;75;01 86 61 08 98;contact@bruno-plombier-chauffagiste.fr;https://bruno-plombier-chauffagiste.fr;oui
EBP Artisan Plombier;plombier;Paris;75;07 87 26 41 51;boreedouard@gmail.com;https://www.ebp-artisan-plombier.com;oui
L'Atelier Du Plombier Paris;plombier;Paris;75;01 88 27 39 76;services@atelier-du-plombier.com;https://atelierduplombier.com;oui
Le Plombier Royal;plombier;Paris;75;07 59 68 58 45;contact@plombier-royal.fr;https://plombier-royal.fr;oui
PARIS HOME RÉNOVATION;plombier;Paris;75;06 17 94 63 56;parishomerenovation75@sfr.fr;;oui
Electricien Paris IDF;electricien;Les Lilas;93;06 51 06 66 35;contact@electricien-paris-idf.com;https://electricien-paris-idf.com;oui
Testelec;electricien;Champigny-sur-Marne;94;06 66 99 74 02;testelec@orange.fr;https://www.testelec-94.fr;oui
BELMARD BÂTIMENT;electricien;Paris;75;01 70 82 49 70;belmard.batiment@gmail.com;https://electricien.belmard-batiment.fr;oui
BAT'INOV;electricien;Vincennes;94;01 43 28 22 04;contact@bat-inov.com;https://batinov-renovation.com;oui
EFFI-ELEC;electricien;Montmorency;95;06 13 20 56 39;contact@effi-elec.fr;https://www.effi-elec.fr;oui
JS Elec;electricien;Le Plessis-Bouchard;95;01 70 82 63 05;js.elec95@orange.fr;https://www.jselec95.fr;oui
Eagles Prod France;electricien;Paris;75;06 08 28 48 88;eaglesprodfrance@yahoo.com;https://electricien-plombier.fr;oui
E.D.C. Multi Services;electricien;Paris;75;01 44 15 86 07;edcmultiservices@gmail.com;https://www.renovation-paris.com;oui
Almeida Maçonnerie Rénovation;macon;Ivry-sur-Seine;94;01 46 70 61 88;contact@almeida.fr;https://www.almeida.fr;oui
TD Rénovation Paris;macon;Paris;75;01 44 78 05 18;contact.tdrenovation@gmail.com;https://tdrenovationparis.fr;oui
IACUBOV GROUPE RENOVATION;macon;Bonneuil-sur-Marne;94;06 05 56 53 50;contact@iacubov-groupe-renovation.fr;https://iacubov-groupe-renovation.fr;oui
GLEFEBVRE SAS;macon;Clichy;92;01 48 70 13 13;plomberie@glefebvre.fr;https://glefebvre.fr;oui
MC2 RENOVATION;macon;Paris;75;09 81 26 65 61;mc2.renovation@hotmail.com;https://www.renovation-travaux-paris.fr;oui
Artisans de France;macon;Montry;77;01 48 72 24 74;contact@lesartisansdefrance.com;https://lesartisansdefrance.com;oui
Entreprise Corbet;plombier;Meaux;77;01 60 25 80 26;entreprisecorbet@wanadoo.fr;;oui
2.P.C.J.;plombier;Saint-Fargeau-Ponthierry;77;01 60 65 67 68;contact@2pcj.fr;;oui
Ets Picard & Fils;plombier;Pontault-Combault;77;01 60 29 40 65;picard.devis@gmail.com;https://www.etspicard.fr;oui
Leforge et Fils;plombier;Seine-et-Marne;77;01 60 18 92 50;leforge.devis@gmail.com;https://www.leforge-et-fils.fr;oui
ADS Sanitaire 95;plombier;Pontoise;95;06 22 45 78 85;adssanitaire@gmail.com;https://www.ads-sanitaire-95.fr;oui
ALS Plombier 92;plombier;Suresnes;92;01 85 39 25 86;contact@artisan-plombier-92.fr;https://artisan-plombier-92.fr;oui
Les Travaux du Particulier;plombier;Paris;75;01 85 53 91 14;contact@travauxduparticulier.fr;http://www.travauxduparticulier.fr;oui
ArchiPeinture;peintre;Chevreuse;78;06 98 51 05 50;projet@archipeinture.fr;https://www.archipeinture.fr;oui
Degarde Pascal;peintre;Paris;75;01 40 37 37 55;p.degarde@free.fr;https://www.degarde.fr;oui
David Bonnaire Bâtiment;peintre;Le Perreux-sur-Marne;94;06 69 06 16 86;contact@bonnaire-batiment.com;https://bonnaire-batiment.com;oui
Diers Peinture;peintre;Servon;77;06 16 13 51 32;hervediers77@gmail.com;https://www.diers-peintre-77.fr;oui
Entreprise BAUD;peintre;Brétigny-sur-Orge;91;06 50 51 61 14;baudartisan91@gmail.com;https://entreprise-baud.net;oui
Groupe CPR 77;peintre;Limoges-Fourches;77;01 60 60 25 97;contact@groupecpr.fr;https://www.groupecpr.fr;oui
Groupe CPR 95;peintre;Gonesse;95;01 60 60 25 97;contact95@groupecpr.fr;https://www.groupecpr.fr;oui
Groupe CPR 94;peintre;Saint-Maur-des-Fossés;94;01 60 60 25 97;contact94@groupecpr.fr;https://www.groupecpr.fr;oui
Groupe CPR 91;peintre;Sainte-Geneviève-des-Bois;91;01 60 60 25 97;contact91@groupecpr.fr;https://www.groupecpr.fr;oui
ML Rénov 92;carreleur;Gennevilliers;92;07 83 21 68 53;mlrenov@gmail.com;;oui
AM-Rénovations;carreleur;Chilly-Mazarin;91;01 64 48 69 61;contact@am-renovation.com;https://www.am-renovations-91.fr;oui
